teacher;class;subject;hour
TEACH 1;1A;A056;2
TEACH 1;2A;A056;2
TEACH 1;3A;A056;2
TEACH 2;2F;A060;2
TEACH 3;1C;A060;2
TEACH 3;3C;A060;2
TEACH 3;1H;A060;2
TEACH 3;2I;A060;2
TEACH 3;2C;A060;2
TEACH 3;3G;A060;2
TEACH 3;1G;A060;2
TEACH 3;2G;A060;2
TEACH 3;3I;A060;2
TEACH 4;1A;AM2A;2
TEACH 4;2A;AM2A;2
TEACH 4;3A;AM2A;2
TEACH 4;1D;AM2A;2
TEACH 4;2D;AM2A;2
TEACH 4;3D;AM2A;2
TEACH 4;2B;AM2A;2
TEACH 4;3B;AM2A;2
TEACH 5;3E;A060;2
TEACH 5;2E;A060;2
TEACH 5;1E;A060;2
TEACH 5;1F;A060;2
TEACH 5;3F;A060;2
TEACH 6;1D;A012;8
TEACH 6;2A;A012;10
TEACH 7;1H;A048;2
TEACH 7;3H;A048;2
TEACH 8;1C;A012;6
TEACH 8;2C;A012;12
TEACH 9;2D;A012;12
TEACH 10;3I;A001;2
TEACH 10;2I;A001;2
TEACH 11;1C;A012;6
TEACH 11;1G;A012;6
TEACH 12;2I;A028;6
TEACH 12;3I;A028;6
TEACH 12;1A;A028;6
TEACH 13;3I;A012;8
TEACH 13;3C;A012;12
TEACH 14;3H;A012;10
TEACH 14;2H;A012;6
TEACH 15;1A;A001;2
TEACH 15;2A;A001;2
TEACH 15;3A;A001;2
TEACH 15;1D;A001;2
TEACH 15;2D;A001;2
TEACH 15;3D;A001;2
TEACH 15;1B;A001;2
TEACH 15;2B;A001;2
TEACH 15;3B;A001;2
TEACH 16;1F;A028;6
TEACH 16;2F;A028;6
TEACH 16;3F;A028;6
TEACH 16;3G;A028;3
TEACH 17;1D;A048;2
TEACH 17;2D;A048;2
TEACH 17;3D;A048;2
TEACH 17;1A;A048;2
TEACH 17;2A;A048;2
TEACH 17;3A;A048;2
TEACH 18;1A;A030;2
TEACH 18;2A;A030;2
TEACH 18;3A;A030;2
TEACH 18;1D;A030;2
TEACH 18;2D;A030;2
TEACH 18;3D;A030;2
TEACH 18;2B;A030;2
TEACH 18;3B;A030;2
TEACH 19;1A;A060;2
