teacher;class;subject;hour
TEACH 15;1A;A001;2
TEACH 15;1B;A001;2
TEACH 36;1C;A001;2
TEACH 15;2A;A001;2
TEACH 15;2B;A001;2
TEACH 36;2C;A001;2
TEACH 15;3A;A001;2
TEACH 15;3B;A001;2
TEACH 36;3C;A001;2
TEACH 11;1C;A012;6
TEACH 21;1A;A012;10
TEACH 27;1B;A012;6
TEACH 35;1B;A012;4
TEACH 8;1C;A012;6
TEACH 6;2A;A012;10
TEACH 35;2B;A012;2
TEACH 46;2B;A012;8
TEACH 8;2C;A012;12
TEACH 21;3A;A012;10
TEACH 46;3B;A012;10
TEACH 13;3C;A012;12
TEACH 12;1A;A028;6
TEACH 38;1C;A028;6
TEACH 41;1C;A028;2
TEACH 48;1B;A028;6
TEACH 38;2A;A028;6
TEACH 48;2B;A028;6
TEACH 55;2C;A028;8
TEACH 38;3A;A028;6
TEACH 48;3B;A028;6
TEACH 55;3C;A028;8
TEACH 18;1A;A030;2
TEACH 49;1B;A030;2
TEACH 49;1C;A030;2
TEACH 18;2A;A030;2
TEACH 18;2B;A030;2
TEACH 49;2C;A030;2
TEACH 18;3A;A030;2
TEACH 18;3B;A030;2
TEACH 49;3C;A030;2
TEACH 17;1A;A048;2
TEACH 26;1C;A048;2
TEACH 34;1B;A048;2
TEACH 17;2A;A048;2
TEACH 34;2B;A048;2
TEACH 26;2C;A048;2
TEACH 17;3A;A048;2
TEACH 34;3B;A048;2
TEACH 26;3C;A048;2
TEACH 1;1A;A056;2
TEACH 1;2A;A056;2
TEACH 1;3A;A056;2
TEACH 19;1A;A060;2
TEACH 19;1B;A060;2
TEACH 3;1C;A060;2
TEACH 19;2A;A060;2
TEACH 19;2B;A060;2
TEACH 3;2C;A060;2
TEACH 19;3A;A060;2
TEACH 19;3B;A060;2
TEACH 3;3C;A060;2
TEACH 22;1B;AM2A;2
TEACH 22;1C;AM2A;2
TEACH 4;1A;AM2A;2
TEACH 4;2A;AM2A;2
TEACH 4;2B;AM2A;2
TEACH 22;2C;AM2A;2
TEACH 4;3A;AM2A;2
TEACH 4;3B;AM2A;2
TEACH 22;3C;AM2A;2
TEACH 28;1C;AM2B;3
TEACH 29;1A;AM2B;3
TEACH 29;1B;AM2B;3
TEACH 20;2A;AM2B;3
TEACH 29;2B;AM2B;3
TEACH 54;2C;AM2B;3
TEACH 29;3A;AM2B;3
TEACH 29;3B;AM2B;3
TEACH 54;3C;AM2B;3
TEACH 45;1A;IRC;1
TEACH 45;1B;IRC;1
TEACH 45;1C;IRC;1
TEACH 45;2A;IRC;1
TEACH 45;2B;IRC;1
TEACH 45;2C;IRC;1
TEACH 45;3A;IRC;1
TEACH 45;3B;IRC;1
TEACH 45;3C;IRC;1
